<SYSTEM SETTINGS>,
Title,GME IV Data
Test Set,110422-104526
Time,4/22/2011 11:11:05 AM
Software Version,2.6.1
File Format Version,0.1.0
Parameter Extraction,IVFIT
Keithley Model,2425
</SYSTEM SETTINGS>,
<TEST SETTINGS>,
Sample,Cube
Test ID,110422111105
Notes,4-wires - azymuth rot. -45 deg
# of Cells,1.0000E+0
Area Per Cell  (cm^2),0.0000E+0
Sample Configuration,30 deg
</TEST SETTINGS>,
<IVFIT Control Parameters>,
vcol_num,1.0000E+0
icol_num,2.0000E+0
temp,2.9800E+2
isc_sign,1.0000E+0
model,2.0000E+0
iprint,2.0000E+0
modew,6.0000E+0
niter,5.0000E+0
noise_cur_mode,1.0000E+0
noise_vol_mode,1.0000E+0
noise_vol,1.0000E-3
noise_cur,1.0000E-3
l2method,2.0000E+0
junc,0.0000E+0
</IVFIT Control Parameters>,
<SWEEP SETTINGS>,
Vstart,7.0000E+0
Vstop,-5.0000E-2
Points,1.0000E+2
Duration Mode,0.0000E+0
Connection,1.0000E+0
Pulse Width,1.0000E-4
Pulse Delay,2.0000E-3
Maximum Output Current,1.0000E-1
Enable 24xx Display?,TRUE
Measurement Speed,1.0000E+0
Current Measurement Range,1.0000E-1
Voltage Output Range,1.0000E+1
</SWEEP SETTINGS>,
<MISC SETTINGS>,
CHISQ Threshold,2.0000E+0
Run Dark IV Test?,FALSE
</MISC SETTINGS>,
<SENSOR DATA>,
Initial Ref Cell Reading [V],0.0000E+0
Final Ref Cell Reading [V],0.0000E+0
Min Ref Cell Reading [V],0.0000E+0
Max Ref Cell Reading [V],0.0000E+0
Avg. Ref Cell Reading[V],0.0000E+0
</SENSOR DATA>,
<EXTRACTED PARAMETERS>,
Extracted?,FALSE
DarkIV?,FALSE
Scaled?,FALSE
Voc,0.0000E+0
Isc,0.0000E+0
Jsc,0.0000E+0
Pmax,0.0000E+0
Vmp,0.0000E+0
Imp,0.0000E+0
Rse,0.0000E+0
Gsh,0.0000E+0
Rsh ,0.0000E+0
FF,0.0000E+0
Cell Voc,0.0000E+0
Cell Jsc,0.0000E+0
Cell Pmax,0.0000E+0
Cell Vmp,0.0000E+0
Cell Rse,0.0000E+0
Cell Gsh,0.0000E+0
Cell Rsh,0.0000E+0
CHISQ,0.0000E+0
 Eff,0.0000E+0
</EXTRACTED PARAMETERS>,
<HARDWARE SETTINGS>,
Ref Cell 1 Sun,5.6000E-1
Ref Cell Slope,1.0000E+2
Ref Cell Threshold,2.0000E+0
Ref Cell and Light Source Hardware?,FALSE
Calibrate using Reference cell?,FALSE
LicenseNo,
</HARDWARE SETTINGS>,
<IV DATA>
Vraw,Iraw,Icorrected,Ifit
6.715000,-0.085482,-0.085482,0.000000
6.644000,-0.069738,-0.069738,0.000000
6.572500,-0.055849,-0.055849,0.000000
6.501500,-0.043773,-0.043773,0.000000
6.430500,-0.033287,-0.033287,0.000000
6.359000,-0.024187,-0.024187,0.000000
6.288000,-0.016422,-0.016422,0.000000
6.216500,-0.009705,-0.009705,0.000000
6.145500,-0.003962,-0.003962,0.000000
6.074000,0.001030,0.001030,0.000000
6.003000,0.005342,0.005342,0.000000
5.932000,0.009082,0.009082,0.000000
5.860500,0.012325,0.012325,0.000000
5.789500,0.015043,0.015043,0.000000
5.718000,0.017324,0.017324,0.000000
5.647000,0.019174,0.019174,0.000000
5.576000,0.020654,0.020654,0.000000
5.504500,0.021882,0.021882,0.000000
5.433500,0.022884,0.022884,0.000000
5.362000,0.023760,0.023760,0.000000
5.291000,0.024516,0.024516,0.000000
5.219500,0.025163,0.025163,0.000000
5.148500,0.025702,0.025702,0.000000
5.077500,0.026157,0.026157,0.000000
5.006000,0.026536,0.026536,0.000000
4.935000,0.026828,0.026828,0.000000
4.863500,0.027065,0.027065,0.000000
4.792500,0.027257,0.027257,0.000000
4.721000,0.027423,0.027423,0.000000
4.650000,0.027550,0.027550,0.000000
4.579000,0.027663,0.027663,0.000000
4.507500,0.027770,0.027770,0.000000
4.436500,0.027855,0.027855,0.000000
4.365000,0.027908,0.027908,0.000000
4.294000,0.027941,0.027941,0.000000
4.222500,0.027973,0.027973,0.000000
4.151500,0.028008,0.028008,0.000000
4.080500,0.028043,0.028043,0.000000
4.009000,0.028092,0.028092,0.000000
3.938000,0.028142,0.028142,0.000000
3.866500,0.028182,0.028182,0.000000
3.795500,0.028223,0.028223,0.000000
3.724000,0.028232,0.028232,0.000000
