Vraw,Iraw,Icorrected,Ifit
6.644000,-0.085927,-0.085927,0.000000
6.572500,-0.069949,-0.069949,0.000000
6.501500,-0.055946,-0.055946,0.000000
6.430500,-0.043637,-0.043637,0.000000
6.359000,-0.032830,-0.032830,0.000000
6.288000,-0.023395,-0.023395,0.000000
6.216500,-0.015156,-0.015156,0.000000
6.145500,-0.008139,-0.008139,0.000000
6.074000,-0.002126,-0.002126,0.000000
6.003000,0.002920,0.002920,0.000000
5.932000,0.007151,0.007151,0.000000
5.860500,0.010726,0.010726,0.000000
5.789500,0.013768,0.013768,0.000000
5.718000,0.016435,0.016435,0.000000
5.647000,0.018763,0.018763,0.000000
5.576000,0.020740,0.020740,0.000000
5.504500,0.022490,0.022490,0.000000
5.433500,0.024016,0.024016,0.000000
5.362000,0.025290,0.025290,0.000000
5.291000,0.026377,0.026377,0.000000
5.219500,0.027316,0.027316,0.000000
5.148500,0.028141,0.028141,0.000000
5.077500,0.028818,0.028818,0.000000
5.006000,0.029420,0.029420,0.000000
4.935000,0.029956,0.029956,0.000000
4.863500,0.030443,0.030443,0.000000
4.792500,0.030829,0.030829,0.000000
4.721000,0.031172,0.031172,0.000000
4.650000,0.031475,0.031475,0.000000
4.579000,0.031730,0.031730,0.000000
4.507500,0.031938,0.031938,0.000000
4.436500,0.032141,0.032141,0.000000
4.365000,0.032325,0.032325,0.000000
4.294000,0.032454,0.032454,0.000000
4.222500,0.032560,0.032560,0.000000
4.151500,0.032647,0.032647,0.000000
4.080500,0.032736,0.032736,0.000000
4.009000,0.032812,0.032812,0.000000
3.938000,0.032881,0.032881,0.000000
3.866500,0.032957,0.032957,0.000000
3.795500,0.033033,0.033033,0.000000
3.724000,0.033094,0.033094,0.000000
3.653000,0.033138,0.033138,0.000000
3.582000,0.033174,0.033174,0.000000
3.510500,0.033210,0.033210,0.000000
3.439500,0.033255,0.033255,0.000000
3.368000,0.033304,0.033304,0.000000
3.297000,0.033360,0.033360,0.000000
3.226000,0.033412,0.033412,0.000000
3.154500,0.033456,0.033456,0.000000
3.083500,0.033479,0.033479,0.000000
3.012000,0.033507,0.033507,0.000000
2.941000,0.033515,0.033515,0.000000
2.869500,0.033538,0.033538,0.000000
2.798500,0.033564,0.033564,0.000000
2.727500,0.033617,0.033617,0.000000
2.656000,0.033667,0.033667,0.000000
2.585000,0.033696,0.033696,0.000000
2.513500,0.033726,0.033726,0.000000
2.442500,0.033730,0.033730,0.000000
2.371000,0.033718,0.033718,0.000000
2.300000,0.033711,0.033711,0.000000
2.229000,0.033730,0.033730,0.000000
2.157500,0.033744,0.033744,0.000000
2.086500,0.033773,0.033773,0.000000
2.015000,0.033799,0.033799,0.000000
1.944000,0.033812,0.033812,0.000000
1.872500,0.033824,0.033824,0.000000
1.801500,0.033851,0.033851,0.000000
1.730500,0.033865,0.033865,0.000000
1.659000,0.033884,0.033884,0.000000
1.588000,0.033916,0.033916,0.000000
1.516500,0.033929,0.033929,0.000000
1.445500,0.033930,0.033930,0.000000
1.374000,0.033952,0.033952,0.000000
1.303000,0.033969,0.033969,0.000000
1.232000,0.034001,0.034001,0.000000
1.160500,0.034027,0.034027,0.000000
1.089500,0.034022,0.034022,0.000000
1.018000,0.034052,0.034052,0.000000
0.947000,0.034077,0.034077,0.000000
0.876000,0.034103,0.034103,0.000000
0.804500,0.034124,0.034124,0.000000
0.733500,0.034144,0.034144,0.000000
0.662000,0.034150,0.034150,0.000000
0.591000,0.034153,0.034153,0.000000
0.519500,0.034164,0.034164,0.000000
0.448500,0.034208,0.034208,0.000000
0.377500,0.034230,0.034230,0.000000
0.306000,0.034253,0.034253,0.000000
0.235000,0.034271,0.034271,0.000000
0.163500,0.034282,0.034282,0.000000
0.092500,0.034290,0.034290,0.000000
0.021000,0.034300,0.034300,0.000000
