Vraw,Iraw,Icorrected,Ifit
6.786500,-0.167178,-0.167178,0.000000
6.715000,-0.137936,-0.137936,0.000000
6.644000,-0.112241,-0.112241,0.000000
6.572500,-0.089466,-0.089466,0.000000
6.501500,-0.069496,-0.069496,0.000000
6.430500,-0.051960,-0.051960,0.000000
6.359000,-0.036461,-0.036461,0.000000
6.288000,-0.022988,-0.022988,0.000000
6.216500,-0.011075,-0.011075,0.000000
6.145500,-0.000795,-0.000795,0.000000
6.074000,0.008182,0.008182,0.000000
6.003000,0.015979,0.015979,0.000000
5.932000,0.022754,0.022754,0.000000
5.860500,0.028759,0.028759,0.000000
5.789500,0.034001,0.034001,0.000000
5.718000,0.038585,0.038585,0.000000
5.647000,0.042564,0.042564,0.000000
5.576000,0.046013,0.046013,0.000000
5.504500,0.049038,0.049038,0.000000
5.433500,0.051645,0.051645,0.000000
5.362000,0.053958,0.053958,0.000000
5.291000,0.055968,0.055968,0.000000
5.219500,0.057752,0.057752,0.000000
5.148500,0.059319,0.059319,0.000000
5.077500,0.060681,0.060681,0.000000
5.006000,0.061886,0.061886,0.000000
4.935000,0.062898,0.062898,0.000000
4.863500,0.063769,0.063769,0.000000
4.792500,0.064525,0.064525,0.000000
4.721000,0.065218,0.065218,0.000000
4.650000,0.065801,0.065801,0.000000
4.579000,0.066390,0.066390,0.000000
4.507500,0.066886,0.066886,0.000000
4.436500,0.067350,0.067350,0.000000
4.365000,0.067777,0.067777,0.000000
4.294000,0.068042,0.068042,0.000000
4.222500,0.068307,0.068307,0.000000
4.151500,0.068550,0.068550,0.000000
4.080500,0.068754,0.068754,0.000000
4.009000,0.068921,0.068921,0.000000
3.938000,0.069122,0.069122,0.000000
3.866500,0.069268,0.069268,0.000000
3.795500,0.069422,0.069422,0.000000
3.724000,0.069581,0.069581,0.000000
3.653000,0.069605,0.069605,0.000000
3.582000,0.069683,0.069683,0.000000
3.510500,0.069719,0.069719,0.000000
3.439500,0.069810,0.069810,0.000000
3.368000,0.069881,0.069881,0.000000
3.297000,0.069966,0.069966,0.000000
3.226000,0.070022,0.070022,0.000000
3.154500,0.070085,0.070085,0.000000
3.083500,0.070095,0.070095,0.000000
3.012000,0.070112,0.070112,0.000000
2.941000,0.070138,0.070138,0.000000
2.869500,0.070161,0.070161,0.000000
2.798500,0.070154,0.070154,0.000000
2.727500,0.070217,0.070217,0.000000
2.656000,0.070245,0.070245,0.000000
2.585000,0.070310,0.070310,0.000000
2.513500,0.070340,0.070340,0.000000
2.442500,0.070365,0.070365,0.000000
2.371000,0.070392,0.070392,0.000000
2.300000,0.070427,0.070427,0.000000
2.229000,0.070435,0.070435,0.000000
2.157500,0.070475,0.070475,0.000000
2.086500,0.070495,0.070495,0.000000
2.015000,0.070552,0.070552,0.000000
1.944000,0.070591,0.070591,0.000000
1.872500,0.070620,0.070620,0.000000
1.801500,0.070620,0.070620,0.000000
1.730500,0.070597,0.070597,0.000000
1.659000,0.070618,0.070618,0.000000
1.588000,0.070653,0.070653,0.000000
1.516500,0.070719,0.070719,0.000000
1.445500,0.070757,0.070757,0.000000
1.374000,0.070819,0.070819,0.000000
1.303000,0.070843,0.070843,0.000000
1.232000,0.070906,0.070906,0.000000
1.160500,0.070943,0.070943,0.000000
1.089500,0.070993,0.070993,0.000000
1.018000,0.071003,0.071003,0.000000
0.947000,0.071004,0.071004,0.000000
0.876000,0.071009,0.071009,0.000000
0.804500,0.071070,0.071070,0.000000
0.733500,0.071173,0.071173,0.000000
0.662000,0.071221,0.071221,0.000000
0.591000,0.071262,0.071262,0.000000
0.519500,0.071289,0.071289,0.000000
0.448500,0.071273,0.071273,0.000000
0.377500,0.071302,0.071302,0.000000
0.306000,0.071346,0.071346,0.000000
0.235000,0.071418,0.071418,0.000000
0.163500,0.071508,0.071508,0.000000
0.092500,0.071582,0.071582,0.000000
0.021000,0.071606,0.071606,0.000000
